case_id,category,expected,detected,status,error_types,evidence_path,notes
"algebraic_expressions-016","ALGEBRAIC_EXPRESSIONS","q^2-9q","x^2-2x","WRONG_SYMBOL","DIGIT_CONFUSION|LETTER_CONFUSION","failures/algebraic_expressions-016.png",""
"algebraic_expressions-017","ALGEBRAIC_EXPRESSIONS","S_5+5S","5+5","WRONG_STRUCTURE","LETTER_CONFUSION|SUBSCRIPT_MISSED","failures/algebraic_expressions-017.png",""
"algebraic_expressions-019","ALGEBRAIC_EXPRESSIONS","(a+(b-c))^2","(O+(D-C))^?","WRONG_SYMBOL","DIGIT_CONFUSION|LETTER_CONFUSION","failures/algebraic_expressions-019.png","Low-confidence interpretation; choose an alternative or edit before insertion."
"algebraic_expressions-023","ALGEBRAIC_EXPRESSIONS","a^{m+n}","a^{n+n}","PARTIAL","LETTER_CONFUSION","failures/algebraic_expressions-023.png",""
"algebraic_expressions-025","ALGEBRAIC_EXPRESSIONS","a_n=a_1+(n-1)d","a_n=a_{1}+(n-1)a","PARTIAL","LETTER_CONFUSION","failures/algebraic_expressions-025.png",""
"algebraic_expressions-028","ALGEBRAIC_EXPRESSIONS","max(a,b)-min(a,b)","Maxco,b)-Minco,DJ","WRONG_SYMBOL","LETTER_CONFUSION|LOW_CONFIDENCE","failures/algebraic_expressions-028.png","Low-confidence interpretation; choose an alternative or edit before insertion."
"algebraic_expressions-029","ALGEBRAIC_EXPRESSIONS","{x+1,x<0;x^2,x>=0}","\left \{ x+1,x<0;x^2,x>=0 \right \}","PARTIAL","LETTER_CONFUSION","failures/algebraic_expressions-029.png",""
"algebraic_expressions-030","ALGEBRAIC_EXPRESSIONS","","","MANUAL_REVIEW_REQUIRED","","failures/algebraic_expressions-030.png","The automated stroke alphabet cannot represent this case faithfully; execute in manual Mode B."
"algebraic_expressions-033","ALGEBRAIC_EXPRESSIONS","A(B+C)-AB","( \lambda C)-","WRONG_SYMBOL","LETTER_CONFUSION","failures/algebraic_expressions-033.png",""
"algebraic_expressions-034","ALGEBRAIC_EXPRESSIONS","alpha*x+beta","a+b","WRONG_SYMBOL","LETTER_CONFUSION","failures/algebraic_expressions-034.png","Low-confidence interpretation; choose an alternative or edit before insertion."
"algebraic_expressions-037","ALGEBRAIC_EXPRESSIONS","(x+3)^2 -> x^2+6x+9","(x+3)^2->x^2+6x+0","PARTIAL","DIGIT_CONFUSION","failures/algebraic_expressions-037.png",""
"algebraic_expressions-038","ALGEBRAIC_EXPRESSIONS","x+~~3~~4","x+34","WRONG_SYMBOL","","failures/algebraic_expressions-038.png",""
"algebraic_expressions-039","ALGEBRAIC_EXPRESSIONS","2x+3y\n-4x+y","2X+3Y;-4X+Y","PARTIAL","","failures/algebraic_expressions-039.png","Recognized as 2 spatially separate equation lines."
"equations_inequalities-006","EQUATIONS_INEQUALITIES","sqrt(x+4)=x-2","s \cap t(X+4)=X-2","WRONG_LAYOUT","LETTER_CONFUSION|ROOT_SCOPE_ERROR","failures/equations_inequalities-006.png",""
"equations_inequalities-009","EQUATIONS_INEQUALITIES","x+y=10\n2x-y=3","x+y=10;2x-y=3","PARTIAL","","failures/equations_inequalities-009.png","Recognized as 2 spatially separate equation lines."
"equations_inequalities-010","EQUATIONS_INEQUALITIES","x+y+z=6\n2x-y+z=3\nx+2y-z=4","","TIMEOUT","TIMEOUT","failures/equations_inequalities-010.png",""
"equations_inequalities-011","EQUATIONS_INEQUALITIES","","","MANUAL_REVIEW_REQUIRED","","failures/equations_inequalities-011.png","The automated stroke alphabet cannot represent this case faithfully; execute in manual Mode B."
"equations_inequalities-014","EQUATIONS_INEQUALITIES","x!=4","x \cdot x \cdot!=4","WRONG_SYMBOL","LETTER_CONFUSION","failures/equations_inequalities-014.png",""
"equations_inequalities-018","EQUATIONS_INEQUALITIES","x^4-16=0","x^{4}-15=0","PARTIAL","DIGIT_CONFUSION","failures/equations_inequalities-018.png",""
"equations_inequalities-024","EQUATIONS_INEQUALITIES","sqrt(x)+sqrt(x-1)=3","\sin(X)+\sin(X-1)=3","WRONG_LAYOUT","LETTER_CONFUSION|ROOT_SCOPE_ERROR","failures/equations_inequalities-024.png",""
"equations_inequalities-027","EQUATIONS_INEQUALITIES","x+y=5\nx-y=1\nx=3","x+y=5;X-Y=1;x=3","PARTIAL","","failures/equations_inequalities-027.png","Recognized as 3 spatially separate equation lines."
"equations_inequalities-028","EQUATIONS_INEQUALITIES","{x+y=4;2x-y=5}","\{X+Y=4;2X-Y=5 \}","PARTIAL","","failures/equations_inequalities-028.png",""
"equations_inequalities-030","EQUATIONS_INEQUALITIES","(x-1)^2>=0","(X-132)=0","WRONG_STRUCTURE","DIGIT_CONFUSION|SUPERSCRIPT_MISSED|LOW_CONFIDENCE","failures/equations_inequalities-030.png","Low-confidence interpretation; choose an alternative or edit before insertion."
"equations_inequalities-033","EQUATIONS_INEQUALITIES","F=ma","IMA","WRONG_STRUCTURE","LETTER_CONFUSION|OVERWRITING_ERROR|LOW_CONFIDENCE","failures/equations_inequalities-033.png","Image pass unavailable; result uses digital ink and parser evidence.; Low-confidence interpretation; choose an alternative or edit before insertion."
"equations_inequalities-034","EQUATIONS_INEQUALITIES","a/b=c/d","a\times b=c \times d","WRONG_LAYOUT","LETTER_CONFUSION|FRACTION_MISREAD|STROKE_ORDER_SENSITIVE","failures/equations_inequalities-034.png","Low-confidence interpretation; choose an alternative or edit before insertion."
"equations_inequalities-035","EQUATIONS_INEQUALITIES","x+1=2\nx=1","x+1=2;X=1","PARTIAL","","failures/equations_inequalities-035.png","Recognized as 2 spatially separate equation lines."
"equations_inequalities-036","EQUATIONS_INEQUALITIES","2x+2=10\n2x=8\nx=4","2x+2=10;2X=8;x=4","PARTIAL","","failures/equations_inequalities-036.png","Recognized as 3 spatially separate equation lines."
"equations_inequalities-037","EQUATIONS_INEQUALITIES","x+5=12\nx=12-5\nx=7","x+5=12;x=12-5;x=7","PARTIAL","","failures/equations_inequalities-037.png","Recognized as 3 spatially separate equation lines."
"equations_inequalities-038","EQUATIONS_INEQUALITIES","x+5=12\nx=12+5\nx=17","x+5=12;x=12+5;x=17","PARTIAL","","failures/equations_inequalities-038.png","Recognized as 3 spatially separate equation lines."
"equations_inequalities-040","EQUATIONS_INEQUALITIES","x+y=3\n  x-y=1","x+y=3;X-Y=1","PARTIAL","","failures/equations_inequalities-040.png","Recognized as 2 spatially separate equation lines."
"powers_subscripts_roots-004","POWERS_SUBSCRIPTS_ROOTS","x^{-2}","","TIMEOUT","TIMEOUT","failures/powers_subscripts_roots-004.png",""
"powers_subscripts_roots-006","POWERS_SUBSCRIPTS_ROOTS","a^{b+c}","","TIMEOUT","TIMEOUT","failures/powers_subscripts_roots-006.png",""
"powers_subscripts_roots-008","POWERS_SUBSCRIPTS_ROOTS","sqrt(x)","\sin(X)","WRONG_STRUCTURE","LETTER_CONFUSION|ROOT_SCOPE_ERROR","failures/powers_subscripts_roots-008.png",""
"powers_subscripts_roots-009","POWERS_SUBSCRIPTS_ROOTS","sqrt(x^2+y^2)","\sin^{2}+(x^{2}+y^{2})","WRONG_LAYOUT","DIGIT_CONFUSION|LETTER_CONFUSION|ROOT_SCOPE_ERROR","failures/powers_subscripts_roots-009.png",""
"powers_subscripts_roots-010","POWERS_SUBSCRIPTS_ROOTS","root_3(27)","r00+3(27)","WRONG_STRUCTURE","DIGIT_CONFUSION|LETTER_CONFUSION|SUBSCRIPT_MISSED|LOCATION_SENSITIVE|STROKE_ORDER_SENSITIVE","failures/powers_subscripts_roots-010.png",""
"powers_subscripts_roots-011","POWERS_SUBSCRIPTS_ROOTS","root_4(16)","root_al163","WRONG_SYMBOL","DIGIT_CONFUSION|LETTER_CONFUSION","failures/powers_subscripts_roots-011.png","Low-confidence interpretation; choose an alternative or edit before insertion."
"powers_subscripts_roots-012","POWERS_SUBSCRIPTS_ROOTS","6.02*10^23","6_.02*10^23","PARTIAL","","failures/powers_subscripts_roots-012.png",""
"powers_subscripts_roots-015","POWERS_SUBSCRIPTS_ROOTS","a_{n+1}","ab+1","WRONG_STRUCTURE","LETTER_CONFUSION|SUBSCRIPT_MISSED|OVERWRITING_ERROR","failures/powers_subscripts_roots-015.png",""
"powers_subscripts_roots-017","POWERS_SUBSCRIPTS_ROOTS","x^{y^2}","X^{YZ}3","WRONG_SYMBOL","DIGIT_CONFUSION|LETTER_CONFUSION","failures/powers_subscripts_roots-017.png",""
"powers_subscripts_roots-018","POWERS_SUBSCRIPTS_ROOTS","(a^m)^n","a","WRONG_STRUCTURE","LETTER_CONFUSION|SUPERSCRIPT_MISSED|STROKE_ORDER_SENSITIVE|LOW_CONFIDENCE","failures/powers_subscripts_roots-018.png","Low-confidence interpretation; choose an alternative or edit before insertion."
"powers_subscripts_roots-020","POWERS_SUBSCRIPTS_ROOTS","9^{3/2}","9^{312}","WRONG_LAYOUT","DIGIT_CONFUSION|FRACTION_MISREAD","failures/powers_subscripts_roots-020.png",""
"powers_subscripts_roots-021","POWERS_SUBSCRIPTS_ROOTS","sqrt[3](x+1)","sr+[3](x+1)","WRONG_STRUCTURE","LETTER_CONFUSION|ROOT_SCOPE_ERROR|LOCATION_SENSITIVE","failures/powers_subscripts_roots-021.png",""
"powers_subscripts_roots-022","POWERS_SUBSCRIPTS_ROOTS","sqrt(sqrt(x))","Sr+(srt(x))","WRONG_STRUCTURE","LETTER_CONFUSION|ROOT_SCOPE_ERROR|LOCATION_SENSITIVE|LOW_CONFIDENCE","failures/powers_subscripts_roots-022.png","Low-confidence interpretation; choose an alternative or edit before insertion."
"powers_subscripts_roots-023","POWERS_SUBSCRIPTS_ROOTS","sqrt(x+sqrt(y))","srcx+srty>>","WRONG_STRUCTURE","LETTER_CONFUSION|ROOT_SCOPE_ERROR|LOW_CONFIDENCE","failures/powers_subscripts_roots-023.png","Low-confidence interpretation; choose an alternative or edit before insertion."
"powers_subscripts_roots-025","POWERS_SUBSCRIPTS_ROOTS","1.5*10^{-4}","1_.5*10^(-4)","PARTIAL","","failures/powers_subscripts_roots-025.png",""
"powers_subscripts_roots-026","POWERS_SUBSCRIPTS_ROOTS","H_2O","frac{}","WRONG_STRUCTURE","DIGIT_CONFUSION|LETTER_CONFUSION|SUBSCRIPT_MISSED|STROKE_ORDER_SENSITIVE","failures/powers_subscripts_roots-026.png","Low-confidence interpretation; choose an alternative or edit before insertion."
"powers_subscripts_roots-027","POWERS_SUBSCRIPTS_ROOTS","CO_2","","TIMEOUT","TIMEOUT","failures/powers_subscripts_roots-027.png",""
"powers_subscripts_roots-029","POWERS_SUBSCRIPTS_ROOTS","T_i^{jk}","i","WRONG_STRUCTURE","LETTER_CONFUSION|SUPERSCRIPT_MISSED|SUBSCRIPT_MISSED","failures/powers_subscripts_roots-029.png",""
"powers_subscripts_roots-031","POWERS_SUBSCRIPTS_ROOTS","x^{2^3}","X^{23}3","PARTIAL","DIGIT_CONFUSION","failures/powers_subscripts_roots-031.png",""
"powers_subscripts_roots-032","POWERS_SUBSCRIPTS_ROOTS","x^2^3","X^{23}","PARTIAL","","failures/powers_subscripts_roots-032.png",""
"powers_subscripts_roots-033","POWERS_SUBSCRIPTS_ROOTS","sqrt(x^2+1)/(x_1)","\sin(x^{2}+1)/(x_{1})","PARTIAL","LETTER_CONFUSION|FRACTION_MISREAD|ROOT_SCOPE_ERROR|LOCATION_SENSITIVE|OVERWRITING_ERROR","failures/powers_subscripts_roots-033.png",""
"powers_subscripts_roots-034","POWERS_SUBSCRIPTS_ROOTS","e^{-x^2}","e","WRONG_STRUCTURE","DIGIT_CONFUSION|LETTER_CONFUSION|SUPERSCRIPT_MISSED|STROKE_ORDER_SENSITIVE|LOW_CONFIDENCE","failures/powers_subscripts_roots-034.png","Image pass unavailable; result uses digital ink and parser evidence.; Low-confidence interpretation; choose an alternative or edit before insertion."
"powers_subscripts_roots-038","POWERS_SUBSCRIPTS_ROOTS","x^ 2","times","WRONG_STRUCTURE","DIGIT_CONFUSION|LETTER_CONFUSION|SUPERSCRIPT_MISSED","failures/powers_subscripts_roots-038.png",""
"powers_subscripts_roots-040","POWERS_SUBSCRIPTS_ROOTS","x^2+x_2","x_1^2+x_2","PARTIAL","DIGIT_CONFUSION","failures/powers_subscripts_roots-040.png",""
"fractions_rational-005","FRACTIONS_RATIONAL","(a^2-b^2)/(a+b)","co-DJI ca+b)","WRONG_STRUCTURE","DIGIT_CONFUSION|LETTER_CONFUSION|SUPERSCRIPT_MISSED|FRACTION_MISREAD","failures/fractions_rational-005.png","Low-confidence interpretation; choose an alternative or edit before insertion."
"fractions_rational-007","FRACTIONS_RATIONAL","sqrt(x)/(x+2)","\sin(X)/(X+2)","WRONG_LAYOUT","LETTER_CONFUSION|FRACTION_MISREAD|ROOT_SCOPE_ERROR","failures/fractions_rational-007.png",""
"fractions_rational-012","FRACTIONS_RATIONAL","(a/b)/c","(a/b) \geq c","PARTIAL","LETTER_CONFUSION","failures/fractions_rational-012.png","Low-confidence interpretation; choose an alternative or edit before insertion."
"fractions_rational-013","FRACTIONS_RATIONAL","dy/dx","\alpha Y/ \alpha X","WRONG_SYMBOL","LETTER_CONFUSION","failures/fractions_rational-013.png",""
"fractions_rational-018","FRACTIONS_RATIONAL","(1+sqrt(5))/2","ass","WRONG_STRUCTURE","DIGIT_CONFUSION|LETTER_CONFUSION|FRACTION_MISREAD|ROOT_SCOPE_ERROR|STROKE_ORDER_SENSITIVE|LOW_CONFIDENCE","failures/fractions_rational-018.png","Low-confidence interpretation; choose an alternative or edit before insertion."
"fractions_rational-022","FRACTIONS_RATIONAL","(a+b)/(c+d)+(e+f)/(g+h)","(otos/ccta)+lett)/(gth)","WRONG_SYMBOL","LETTER_CONFUSION|LOW_CONFIDENCE","failures/fractions_rational-022.png","Low-confidence interpretation; choose an alternative or edit before insertion."
"fractions_rational-026","FRACTIONS_RATIONAL","sqrt(x/y)","\sin^{t}(X/Y)","WRONG_LAYOUT","LETTER_CONFUSION|FRACTION_MISREAD|ROOT_SCOPE_ERROR|STROKE_ORDER_SENSITIVE","failures/fractions_rational-026.png",""
"fractions_rational-027","FRACTIONS_RATIONAL","sqrt(x)/sqrt(y)","\int S\Gamma t(X)/S\Gamma t(Y)","WRONG_LAYOUT","LETTER_CONFUSION|FRACTION_MISREAD|ROOT_SCOPE_ERROR","failures/fractions_rational-027.png",""
"fractions_rational-029","FRACTIONS_RATIONAL","(sum_{i=1}^n i)/n","(Sumi=1' is in","WRONG_STRUCTURE","LETTER_CONFUSION|SUPERSCRIPT_MISSED|SUBSCRIPT_MISSED|FRACTION_MISREAD","failures/fractions_rational-029.png","Image pass unavailable; result uses digital ink and parser evidence.; Low-confidence interpretation; choose an alternative or edit before insertion."
"fractions_rational-031","FRACTIONS_RATIONAL","n!/(r!(n-r)!)","n!/((!(^-^)!)","PARTIAL","LETTER_CONFUSION|LOW_CONFIDENCE","failures/fractions_rational-031.png","Low-confidence interpretation; choose an alternative or edit before insertion."
"fractions_rational-035","FRACTIONS_RATIONAL","(x+1)----------------(x-1)","(x+1)----------(x-1)","PARTIAL","","failures/fractions_rational-035.png",""
"fractions_rational-037","FRACTIONS_RATIONAL","(x+1)\(x-1)","(x+1)(x-1)","PARTIAL","","failures/fractions_rational-037.png",""
"complex_numbers-003","COMPLEX_NUMBERS","conj(z)=3-4i","\cos j(z)=3-4i","PARTIAL","LETTER_CONFUSION","failures/complex_numbers-003.png",""
"complex_numbers-004","COMPLEX_NUMBERS","","","MANUAL_REVIEW_REQUIRED","","failures/complex_numbers-004.png","The automated stroke alphabet cannot represent this case faithfully; execute in manual Mode B."
"complex_numbers-005","COMPLEX_NUMBERS","z=r(cos(theta)+i*sin(theta))","z=r( \cos(+h \exp)+i \times \sin(+h \exp))","PARTIAL","LETTER_CONFUSION","failures/complex_numbers-005.png",""
"complex_numbers-006","COMPLEX_NUMBERS","z=r*e^{i*theta}","","TIMEOUT","TIMEOUT","failures/complex_numbers-006.png",""
"complex_numbers-007","COMPLEX_NUMBERS","e^{i*pi}+1=0","e^{ixpi}+1=0","PARTIAL","LETTER_CONFUSION","failures/complex_numbers-007.png",""
"complex_numbers-009","COMPLEX_NUMBERS","i^{17}","i^{27}","PARTIAL","DIGIT_CONFUSION","failures/complex_numbers-009.png",""
"complex_numbers-010","COMPLEX_NUMBERS","Re(z)=3","e(z)=3","PARTIAL","LETTER_CONFUSION","failures/complex_numbers-010.png",""
"complex_numbers-011","COMPLEX_NUMBERS","Im(z)=4","M(z)=4","PARTIAL","LETTER_CONFUSION","failures/complex_numbers-011.png",""
"complex_numbers-013","COMPLEX_NUMBERS","arg(z)=theta","orgia)=the to","WRONG_SYMBOL","LETTER_CONFUSION","failures/complex_numbers-013.png",""
"complex_numbers-014","COMPLEX_NUMBERS","","","MANUAL_REVIEW_REQUIRED","","failures/complex_numbers-014.png","The automated stroke alphabet cannot represent this case faithfully; execute in manual Mode B."
"complex_numbers-017","COMPLEX_NUMBERS","i^4=1","i^t=1","PARTIAL","DIGIT_CONFUSION|LETTER_CONFUSION|LOW_CONFIDENCE","failures/complex_numbers-017.png",""
"complex_numbers-021","COMPLEX_NUMBERS","(3+4i)+(2-i)","(3+41)+(2-1)","PARTIAL","DIGIT_CONFUSION|LETTER_CONFUSION","failures/complex_numbers-021.png",""
"complex_numbers-024","COMPLEX_NUMBERS","sqrt(-9)=3i","sr+(-9)=31","WRONG_LAYOUT","DIGIT_CONFUSION|LETTER_CONFUSION|ROOT_SCOPE_ERROR","failures/complex_numbers-024.png",""
"complex_numbers-026","COMPLEX_NUMBERS","omega=e^{2*pi*i/3}","","TIMEOUT","TIMEOUT","failures/complex_numbers-026.png",""
"complex_numbers-029","COMPLEX_NUMBERS","Re((2+i)/(1-i))","e((2+i)/(1-i))","PARTIAL","LETTER_CONFUSION","failures/complex_numbers-029.png",""
"complex_numbers-030","COMPLEX_NUMBERS","Im(e^{i*theta})","MCe^('xtheto),","WRONG_SYMBOL","LETTER_CONFUSION|LOW_CONFIDENCE","failures/complex_numbers-030.png","Low-confidence interpretation; choose an alternative or edit before insertion."
"complex_numbers-031","COMPLEX_NUMBERS","conj(z_1+z_2)=conj(z_1)+conj(z_2)","CO\cap j(z_1+z_2)=CO\cap j(z_1)+CO\cap j(z_2)","WRONG_SYMBOL","LETTER_CONFUSION","failures/complex_numbers-031.png",""
"complex_numbers-032","COMPLEX_NUMBERS","","","MANUAL_REVIEW_REQUIRED","","failures/complex_numbers-032.png","The automated stroke alphabet cannot represent this case faithfully; execute in manual Mode B."
"complex_numbers-033","COMPLEX_NUMBERS","z+conj(z)=2Re(z)","z+ \cos z(z)=2e(z)","PARTIAL","LETTER_CONFUSION","failures/complex_numbers-033.png",""
"complex_numbers-034","COMPLEX_NUMBERS","z-conj(z)=2iIm(z)","z- \cos j(z)=z \sin(z)","PARTIAL","DIGIT_CONFUSION|LETTER_CONFUSION","failures/complex_numbers-034.png",""
"complex_numbers-035","COMPLEX_NUMBERS","1/(a+bi)","I/Cat Dis","WRONG_SYMBOL","DIGIT_CONFUSION|LETTER_CONFUSION","failures/complex_numbers-035.png",""
"complex_numbers-036","COMPLEX_NUMBERS","(a+bi)/(c+di)","(a+bi)/cctdi)","PARTIAL","LETTER_CONFUSION","failures/complex_numbers-036.png","Low-confidence interpretation; choose an alternative or edit before insertion."
"complex_numbers-037","COMPLEX_NUMBERS","theta=arg(3+4i)","+he+a=0 \cap g(3+4i)","WRONG_SYMBOL","DIGIT_CONFUSION|LETTER_CONFUSION","failures/complex_numbers-037.png",""
"complex_numbers-038","COMPLEX_NUMBERS","i l 1","i+1","WRONG_SYMBOL","LETTER_CONFUSION","failures/complex_numbers-038.png",""
"complex_numbers-039","COMPLEX_NUMBERS","","","MANUAL_REVIEW_REQUIRED","","failures/complex_numbers-039.png","The automated stroke alphabet cannot represent this case faithfully; execute in manual Mode B."
"log_exp_special-004","LOG_EXP_SPECIAL","log_a(xy)","logy","WRONG_STRUCTURE","LETTER_CONFUSION|SUBSCRIPT_MISSED|LOW_CONFIDENCE","failures/log_exp_special-004.png","Low-confidence interpretation; choose an alternative or edit before insertion."
"log_exp_special-011","LOG_EXP_SPECIAL","infinity","i +Y","WRONG_SYMBOL","LETTER_CONFUSION","failures/log_exp_special-011.png","Low-confidence interpretation; choose an alternative or edit before insertion."
"log_exp_special-012","LOG_EXP_SPECIAL","n!","","TIMEOUT","TIMEOUT","failures/log_exp_special-012.png",""
"log_exp_special-013","LOG_EXP_SPECIAL","floor(x)","FLOORCX)","PARTIAL","LETTER_CONFUSION","failures/log_exp_special-013.png","Low-confidence interpretation; choose an alternative or edit before insertion."
"log_exp_special-015","LOG_EXP_SPECIAL","log_10(1000)=3","10910110001=3","WRONG_LAYOUT","DIGIT_CONFUSION|LETTER_CONFUSION|SUBSCRIPT_MISSED|OVERWRITING_ERROR|LOW_CONFIDENCE","failures/log_exp_special-015.png","Low-confidence interpretation; choose an alternative or edit before insertion."
"log_exp_special-016","LOG_EXP_SPECIAL","log_b(x^n)=n*log_b(x)","lognex)=nx logocx>","WRONG_STRUCTURE","LETTER_CONFUSION|SUPERSCRIPT_MISSED|SUBSCRIPT_MISSED|LOW_CONFIDENCE","failures/log_exp_special-016.png","Low-confidence interpretation; choose an alternative or edit before insertion."
"log_exp_special-020","LOG_EXP_SPECIAL","e^{-x}","et","WRONG_STRUCTURE","LETTER_CONFUSION|SUPERSCRIPT_MISSED","failures/log_exp_special-020.png","Image pass unavailable; result uses digital ink and parser evidence.; Low-confidence interpretation; choose an alternative or edit before insertion."
"log_exp_special-022","LOG_EXP_SPECIAL","ln(sqrt(x))","(MCS(+(X))","WRONG_STRUCTURE","LETTER_CONFUSION|ROOT_SCOPE_ERROR|LOCATION_SENSITIVE|LOW_CONFIDENCE","failures/log_exp_special-022.png","Low-confidence interpretation; choose an alternative or edit before insertion."
"log_exp_special-023","LOG_EXP_SPECIAL","log(log(x))","logclog(x)>","PARTIAL","LETTER_CONFUSION|LOW_CONFIDENCE","failures/log_exp_special-023.png","Low-confidence interpretation; choose an alternative or edit before insertion."
"log_exp_special-025","LOG_EXP_SPECIAL","a^x=b","a^x=0","PARTIAL","LETTER_CONFUSION","failures/log_exp_special-025.png",""
"log_exp_special-026","LOG_EXP_SPECIAL","log_a(b)=c","l0g_o(b)=C","PARTIAL","LETTER_CONFUSION|LOW_CONFIDENCE","failures/log_exp_special-026.png","Low-confidence interpretation; choose an alternative or edit before insertion."
"log_exp_special-028","LOG_EXP_SPECIAL","ln(e^{x+y})","1\cap(e^{x+y})","WRONG_SYMBOL","LETTER_CONFUSION","failures/log_exp_special-028.png",""
"log_exp_special-029","LOG_EXP_SPECIAL","pi~=3.14159","p_{i}=3.14159","PARTIAL","","failures/log_exp_special-029.png",""
"log_exp_special-031","LOG_EXP_SPECIAL","(n+1)!","(1+1)!","PARTIAL","DIGIT_CONFUSION|LETTER_CONFUSION","failures/log_exp_special-031.png",""
"log_exp_special-032","LOG_EXP_SPECIAL","n!!","","TIMEOUT","TIMEOUT","failures/log_exp_special-032.png",""
"log_exp_special-033","LOG_EXP_SPECIAL","Gamma(n)=(n-1)!","amma(n)=(n-1)","PARTIAL","LETTER_CONFUSION|LOW_CONFIDENCE","failures/log_exp_special-033.png","Low-confidence interpretation; choose an alternative or edit before insertion."
"log_exp_special-034","LOG_EXP_SPECIAL","floor(-1.2)=-2","F100 \Gamma(-1.2)=-2","WRONG_SYMBOL","DIGIT_CONFUSION|LETTER_CONFUSION","failures/log_exp_special-034.png",""
"log_exp_special-035","LOG_EXP_SPECIAL","ceil(-1.2)=-1","\mathrm{ceil}(-1,2)=-1","WRONG_SYMBOL","LETTER_CONFUSION","failures/log_exp_special-035.png",""
"log_exp_special-038","LOG_EXP_SPECIAL","e^{i*pi}+1=0","e^{ixpi}+1=0","PARTIAL","LETTER_CONFUSION","failures/log_exp_special-038.png",""
"log_exp_special-039","LOG_EXP_SPECIAL","infinity/8","inity/8","WRONG_SYMBOL","LETTER_CONFUSION","failures/log_exp_special-039.png",""
"log_exp_special-040","LOG_EXP_SPECIAL","lnx","LAX","WRONG_SYMBOL","LETTER_CONFUSION|LOW_CONFIDENCE","failures/log_exp_special-040.png","Image pass unavailable; result uses digital ink and parser evidence.; Low-confidence interpretation; choose an alternative or edit before insertion."
